network_city,network_name,station_name,station_id,station_latitude,station_longitude,empty_slots,free_bikes,total_bikes
London,santander-cycles,"003491 - Princes Square, Bayswater",4a4e7d4e529dab07f129b7ee61ea8a9f,51.5134891,-0.191351186,16,0,16
London,santander-cycles,"001146 - Tysoe Street, Clerkenwell",cd6c181cd00ff28ffd8456e2e2b896ba,51.52644342,-0.109256828,7,13,20
London,santander-cycles,"003490 - Southwick Street, Paddington",6a07ad979e0dfd00f4efa37de319c679,51.51595344,-0.169249375,8,9,17
London,santander-cycles,"001155 - Regency Street, Westminster",0fff4a36bcc719131b5b5f1452148c1a,51.49206037,-0.132224622,19,3,22
London,santander-cycles,"001209 - Empire Square, The Borough",021c9ca075163dcca7edbe920bf0d586,51.50082346,-0.089740764,32,14,46
London,santander-cycles,"001190 - Kennington Lane Rail Bridge, Vauxhall",056303b9788eab5234cff4abb1bdeff9,51.4863434,-0.122492418,10,21,31
London,santander-cycles,"001136 - London Zoo,  The Regent's Park",4fea1b4bf76fd7849d6bce8682a8a0d4,51.53583617,-0.156285395,17,15,32
London,santander-cycles,"001133 - Baylis Road, Waterloo",60428640cbb2e1d4986a8fd9f8f440ac,51.50144456,-0.110699309,16,6,22
London,santander-cycles,"001134 - Warwick Road, Olympia",cd3e444571fd09b673c092f8e3bfbb52,51.49671237,-0.20528437,31,5,36
London,santander-cycles,"001143 - Kensington Church Street, Kensington",03e4ed5b11a4fcefaa386917dd722a5b,51.50315739,-0.191496313,1,16,17
London,santander-cycles,"001108 - North Wharf Road, Paddington",e346609eea29b41f4399239c102a38aa,51.51862243,-0.176645823,8,17,25
London,santander-cycles,"003462 - Royal Avenue 2, Chelsea",ffb92bc589f72ac1783e5696b0714e01,51.490083,-0.162418,6,4,10
London,santander-cycles,"003480 - Smith Square, Westminster",6c059635b05bf7be510ef4eaff29e93c,51.49580589,-0.127575233,12,6,18
London,santander-cycles,"001141 - Kingsway, Covent Garden",e009f8e00b6b4d799332ba17e7571c7d,51.51440928,-0.118478757,1,15,16
