network_city,network_name,station_name,bike_station_id,station_latitude,station_longitude,empty_slots,free_bikes,total_bikes,poi_id,poi_name,poi_distance_from_bike_stn,poi_latitude,poi_longitude,poi_bsns_category,review_count,rating
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,55537b80498eca9bfce36370,Yauatcha City,283,51.51897,-0.083684,Dining and Drinking,,
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,552fee6c498e17137c118b88,Franco Manca,289,51.518936,-0.083247,Dining and Drinking,,
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,5e4547254f10a40008fb2240,Padella Shoreditch,308,51.523489,-0.081848,Dining and Drinking,,
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,5ab43df0f5e9d758514a0f06,Leroy,368,51.524045,-0.08151,Dining and Drinking,,
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,68gc1BAE1IT_zZghFafw0Q,Ozone Coffee,404,51.524683689256,-0.086674106560876,Dining and Drinking,193.0,4.5
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,XPrf1WmmdQ3hyjCExAjrIA,Lounge Bohemia,485,51.5229139449655,-0.0780906239161028,Dining and Drinking,68.0,4.5
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,O3WaROs_7OFbYv4B-7m02Q,Polo 24 Hour Bar,488,51.517821,-0.080269,Dining and Drinking,111.0,4.0
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,vvE5E6WcPkK6ZB3Ivkqiqg,Flat Iron,497,51.5247221,-0.0804249,Dining and Drinking,51.0,4.5
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,xcWZzhS9HgG3-H6xQMtOtA,The Mayor of Scaredy Cat Town,518,51.51837,-0.07872,Dining and Drinking,100.0,4.0
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,ZLPQlA8pLRvNQ1kDCVHmVQ,Pizza East,587,51.5240601,-0.0770451,Dining and Drinking,245.0,3.5
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,PrIqHQtsQl-DnafTdS326A,Whitecross Market,590,51.5228285836074,-0.0927653379297215,Dining and Drinking,73.0,4.5
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,vCF8ut7OZcfA4hEmhngfSQ,Andina,617,51.5243208695971,-0.077134990126122,Dining and Drinking,148.0,4.0
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,DI9SUiuxlf1WjkTu_jJSbg,Hawksmoor Spitalfields,619,51.5211502,-0.075657,Dining and Drinking,177.0,4.5
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,hOLFwKg4-0FsCleJ4yoCXw,Duck & Waffle,621,51.516178,-0.08094,Dining and Drinking,827.0,4.0
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,JhmrjmyrIhAVlM0D0n3VoQ,Sushisamba,621,51.516179,-0.080946,Dining and Drinking,271.0,4.0
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,emdb4ELhKKQXpJ0lIOdg0w,Nightjar,622,51.5265350341797,-0.0877109989523888,Dining and Drinking,186.0,4.5
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,4lCI-05rQo2hQMr9qXKJAQ,Pizza Union,652,51.5175265894232,-0.0773585960268974,Dining and Drinking,92.0,4.5
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,vlq4D26p_143Tj21OF-iMA,Dishoom,661,51.5245310066818,-0.076594190862934,Dining and Drinking,577.0,4.5
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,qF2RobL-4k6IYnS6hpqEyA,Poppies,737,51.5202629,-0.074075,Dining and Drinking,374.0,4.0
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,m3vdBGC0X94sG_5pglDcjQ,St. John Bread & Wine,737,51.5196695,-0.074299,Dining and Drinking,139.0,4.5
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,SCdYgnZUaaQiCAUnfRxlsg,Happiness Forgets,742,51.52770282863,-0.0816464424133301,Dining and Drinking,111.0,4.5
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,iDneZRtqN6dimKmcNQjVZA,The Clove Club,744,51.5270489,-0.0791196,Dining and Drinking,110.0,4.5
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,-ylzTrYtRJUJa2BuAInoyQ,Friends of Ours,869,51.5291189,-0.0836995,Dining and Drinking,96.0,4.5
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32,CrQcYS4nWWdXmSD1pxf_KA,Beigel Bake,955,51.524391,-0.071726,Dining and Drinking,489.0,4.0
