yelp_id,yelp_poi_name,review_count,categories,rating,poi_distance,poi_latitude,poi_longitude,bike_station_id
lMVdwKmsxLgqczUXXfgqGg,Punjab Restaurant,584,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",4.0,805,51.514992,-0.12596,23efb32f80a9dcd0e4f61fb44b353ce1
0B-ag3J18TatG9H9EQohGg,Hawksmoor Seven Dials,372,"[{'alias': 'british', 'title': 'British'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,967,51.5134998914001,-0.12567396291297,23efb32f80a9dcd0e4f61fb44b353ce1
mc1KLbA1Sy4kUTKo0ZEeRQ,Dishoom,633,"[{'alias': 'indpak', 'title': 'Indian'}]",4.5,1153,51.513087,-0.139767,23efb32f80a9dcd0e4f61fb44b353ce1
Opa8XUwUghxbGFafvubV6A,Monmouth Coffee,323,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,850,51.5143539,-0.1269168,23efb32f80a9dcd0e4f61fb44b353ce1
4ibHPLYd299_m1LOdcqxXw,Savoir Faire,212,"[{'alias': 'french', 'title': 'French'}]",4.5,594,51.5171949,-0.1260125,23efb32f80a9dcd0e4f61fb44b353ce1
zdyKTWY6jDasd6Q8BEJdAw,Honest Burgers Meard St - Soho,301,"[{'alias': 'burgers', 'title': 'Burgers'}]",4.5,934,51.5134184063764,-0.132883885733008,23efb32f80a9dcd0e4f61fb44b353ce1
3AqrHgpIbcMXj0q-p_oPzg,Homeslice Neal's Yard,256,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,851,51.5144380966574,-0.126426543278564,23efb32f80a9dcd0e4f61fb44b353ce1
tYynO1nOy1GKxMV3jkxbmw,The Breakfast Club,551,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,846,51.514733,-0.135406,23efb32f80a9dcd0e4f61fb44b353ce1
sYwBQ7mJYhB35nn-_SZstQ,Yauatcha,518,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.0,944,51.5137076071076,-0.135128831605189,23efb32f80a9dcd0e4f61fb44b353ce1
LSvWWKNJi4-gaaRDU-VVYA,Golden Union Fish Bar,315,"[{'alias': 'fishnchips', 'title': 'Fish & Chips'}]",4.0,860,51.5153383,-0.1376925,23efb32f80a9dcd0e4f61fb44b353ce1
Odvs0d73SgqDiOQVPNi0dQ,Kanada-Ya,183,"[{'alias': 'ramen', 'title': 'Ramen'}]",4.5,709,51.51555,-0.127588,23efb32f80a9dcd0e4f61fb44b353ce1
